Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
Gateway Rehabilitation Center,PA,Healthcare Provider,130000,11/18/2022,Hacking/IT Incident,Network Server,No,
University Medical Center of Southern Nevada,NV,Healthcare Provider,1861,11/17/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc. ",CA,Health Plan,8556,11/17/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Medical Associates of the Lehigh Valley,PA,Business Associate,18719,11/16/2022,Hacking/IT Incident,Network Server,Yes,
Yakima Neighborhood Health Services,WA,Healthcare Provider,2689,11/14/2022,Unauthorized Access/Disclosure,Email,No,
"Health Care Management Solutions, LLC",WV,Business Associate,500000,11/14/2022,Hacking/IT Incident,Network Server,Yes,
Yale University,CT,Healthcare Provider,9051,11/11/2022,Hacking/IT Incident,Network Server,No,
Doctors' Center Hospital,,Healthcare Provider,1195220,11/9/2022,Hacking/IT Incident,Network Server,No,
GATE Petroleum Company Employee Benefits Plan ,FL,Health Plan,4912,11/9/2022,Hacking/IT Incident,Network Server,No,
CorrHealth Inc.,TX,Business Associate,1245,11/7/2022,Unauthorized Access/Disclosure,Network Server,Yes,
Resource Anesthesiology Associates of CA PC,CA,Healthcare Provider,1308,11/7/2022,Hacking/IT Incident,Network Server,No,
"Titan Health Partners, LLC d/b/a Astera Cancer Care",NJ,Healthcare Provider,3848,11/4/2022,Hacking/IT Incident,Email,No,
OCEANVIEWS OPTICAL INC,FL,Healthcare Provider,2000,11/3/2022,Hacking/IT Incident,Network Server,No,
"Pinnacle Claims Management, Inc.",CA,Business Associate,2048,11/3/2022,Hacking/IT Incident,Network Server,Yes,
"CorrectCare Integrated Health, Inc.",KY,Business Associate,4380,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes,
"CorrectCare Integrated Health, Inc.",KY,Business Associate,438713,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes,
"CorrectCare Integrated Health, Inc.",KY,Business Associate,53496,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes,
Alta Forest Products Health and Welfare Plan,WA,Health Plan,2100,10/31/2022,Hacking/IT Incident,Network Server,No,
"Heart of Florida Health Center, Inc.",FL,Healthcare Provider,721,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes,
Gateway Ambulatory Surgery Center,NC,Healthcare Provider,18479,10/31/2022,Hacking/IT Incident,Email,No,
"PrimeCare Medical, Inc. ",PA,Healthcare Provider,22254,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes,
"Mediko, Inc.",VA,Healthcare Provider,2809,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes,
The Psychology Center,WI,Healthcare Provider,3614,10/31/2022,Unauthorized Access/Disclosure,Network Server,No,
Louisiana Department of Public Safety and Corrections,LA,Healthcare Provider,85466,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes,
